principio_ativo;campo;motivo;fonte
ampicilina 1.000mg + sulbactam 500mg (frasco-ampola);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
ampicilina 1.000mg + sulbactam 500mg (frasco-ampola);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
ampicilina 2.000mg + sulbactam 1.000mg (frasco-ampola) fresenius eugia 1.500mg a 3.000mg/dia cada 6-8h cada 8h 6ml ad vol final 8ml;reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
ampicilina 2.000mg + sulbactam 1.000mg (frasco-ampola) fresenius eugia 1.500mg a 3.000mg/dia cada 6-8h cada 8h 6ml ad vol final 8ml;reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
ampicilina 2.000mg + sulbactam 1.000mg (frasco-ampola) fresenius eugia 1.500mg a 3.000mg/dia cada 6-8h cada 8h 6ml ad vol final 8ml;reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
ampicilina 2.000mg + sulbactam 1.000mg (frasco-ampola) fresenius eugia 1.500mg a 3.000mg/dia cada 6-8h cada 8h 6ml ad vol final 8ml;concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
ampicilina 2.000mg + sulbactam 1.000mg (frasco-ampola) fresenius eugia 1.500mg a 3.000mg/dia cada 6-8h cada 8h 6ml ad vol final 8ml;velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
ampicilina 2.000mg + sulbactam 1.000mg (frasco-ampola) fresenius eugia 1.500mg a 3.000mg/dia cada 6-8h cada 8h 6ml ad vol final 8ml;estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
ampicilina 2.000mg + sulbactam 1.000mg (frasco-ampola) fresenius eugia 1.500mg a 3.000mg/dia cada 6-8h cada 8h 6ml ad vol final 8ml;estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
ampicilina 2.000mg + sulbactam 1.000mg (frasco-ampola) fresenius eugia 1.500mg a 3.000mg/dia cada 6-8h cada 8h 6ml ad vol final 8ml;fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
ampicilina 2.000mg + sulbactam 1.000mg (frasco-ampola) fresenius eugia 1.500mg a 3.000mg/dia cada 6-8h cada 8h 6ml ad vol final 8ml;acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
ampicilina 2.000mg + sulbactam 1.000mg (frasco-ampola) fresenius eugia 1.500mg a 3.000mg/dia cada 6-8h cada 8h 6ml ad vol final 8ml;ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
ampicilina 2.000mg + sulbactam 1.000mg (frasco-ampola) fresenius eugia 1.500mg a 3.000mg/dia cada 6-8h cada 8h 6ml ad vol final 8ml;incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
anfotericina b complexo lipidico 5mg/ml (frasco-ampola 20ml);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
anfotericina b complexo lipidico 5mg/ml (frasco-ampola 20ml);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
anfotericina b complexo lipidico 5mg/ml (frasco-ampola 20ml);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
anfotericina b complexo lipidico 5mg/ml (frasco-ampola 20ml);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
anfotericina b complexo lipidico 5mg/ml (frasco-ampola 20ml);tempo_infusao_min;tempo de infusão não informado ou administração em bolus;HU-UFGD_v3
anfotericina b complexo lipidico 5mg/ml (frasco-ampola 20ml);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
anfotericina b complexo lipidico 5mg/ml (frasco-ampola 20ml);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
anfotericina b complexo lipidico 5mg/ml (frasco-ampola 20ml);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
anfotericina b complexo lipidico 5mg/ml (frasco-ampola 20ml);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
anfotericina b complexo lipidico 5mg/ml (frasco-ampola 20ml);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
anfotericina b complexo lipidico 5mg/ml (frasco-ampola 20ml);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
anfotericina b complexo lipidico 5mg/ml (frasco-ampola 20ml);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
anfotericina b lipossomal 50mg (frasco- ampola);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
anfotericina b lipossomal 50mg (frasco- ampola);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
anfotericina b lipossomal 50mg (frasco- ampola);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
anfotericina b lipossomal 50mg (frasco- ampola);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
anfotericina b lipossomal 50mg (frasco- ampola);tempo_infusao_min;tempo de infusão não informado ou administração em bolus;HU-UFGD_v3
anfotericina b lipossomal 50mg (frasco- ampola);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
anfotericina b lipossomal 50mg (frasco- ampola);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
anfotericina b lipossomal 50mg (frasco- ampola);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
anfotericina b lipossomal 50mg (frasco- ampola);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
anfotericina b lipossomal 50mg (frasco- ampola);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
anfotericina b lipossomal 50mg (frasco- ampola);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
anfotericina b lipossomal 50mg (frasco- ampola);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
anidulafungina 100mg (frasco-ampola);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
anidulafungina 100mg (frasco-ampola);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
anidulafungina 100mg (frasco-ampola);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
anidulafungina 100mg (frasco-ampola);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
anidulafungina 100mg (frasco-ampola);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
anidulafungina 100mg (frasco-ampola);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
anidulafungina 100mg (frasco-ampola);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
anidulafungina 100mg (frasco-ampola);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
anidulafungina 100mg (frasco-ampola);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
anidulafungina 100mg (frasco-ampola);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
anidulafungina 100mg (frasco-ampola);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
atracurio 10mg/ml (ampola 5ml);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
atracurio 10mg/ml (ampola 5ml);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
atracurio 10mg/ml (ampola 5ml);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
atracurio 10mg/ml (ampola 5ml);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
atracurio 10mg/ml (ampola 5ml);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
atracurio 10mg/ml (ampola 5ml);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
atracurio 10mg/ml (ampola 5ml);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
atracurio 10mg/ml (ampola 5ml);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
atracurio 10mg/ml (ampola 5ml);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
atracurio 10mg/ml (ampola 5ml);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
atracurio 10mg/ml (ampola 5ml);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
azitromicina 500mg (frasco-ampola);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
azitromicina 500mg (frasco-ampola);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
azitromicina 500mg (frasco-ampola);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
azitromicina 500mg (frasco-ampola);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
azitromicina 500mg (frasco-ampola);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
azitromicina 500mg (frasco-ampola);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
azitromicina 500mg (frasco-ampola);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
azitromicina 500mg (frasco-ampola);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
azitromicina 500mg (frasco-ampola);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
azitromicina 500mg (frasco-ampola);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
azitromicina 500mg (frasco-ampola);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
azul de metileno 20mg/ml (ampola 2ml);reconstituicao_diluente;reconstituição não informada no guia para esta apresentação;HU-UFGD_v3
azul de metileno 20mg/ml (ampola 2ml);reconstituicao_volume_ml;volume de reconstituição não informado no guia;HU-UFGD_v3
azul de metileno 20mg/ml (ampola 2ml);reconstituicao_concentracao;concentração de reconstituição não informada;HU-UFGD_v3
azul de metileno 20mg/ml (ampola 2ml);concentracao_maxima;concentração máxima não informada no guia;HU-UFGD_v3
azul de metileno 20mg/ml (ampola 2ml);velocidade_max;velocidade máxima não capturada pelo parser;HU-UFGD_v3
azul de metileno 20mg/ml (ampola 2ml);estabilidade_ta_h;estabilidade à temperatura ambiente não informada;HU-UFGD_v3
azul de metileno 20mg/ml (ampola 2ml);estabilidade_refrig_h;estabilidade refrigerada não informada;HU-UFGD_v3
azul de metileno 20mg/ml (ampola 2ml);fotossensivel;fotossensibilidade não informada;HU-UFGD_v3
azul de metileno 20mg/ml (ampola 2ml);acesso;tipo de acesso (periférico/central) não informado;HU-UFGD_v3
azul de metileno 20mg/ml (ampola 2ml);ajuste_renal_regra;regra de ajuste renal não capturada (campo ajuste_renal vazio);HU-UFGD_v3
azul de metileno 20mg/ml (ampola 2ml);incompatibilidades;incompatibilidades não informadas;HU-UFGD_v3
